Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,,,"FTE Total",107.3,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",26.7,
,,,"Specialist","Number of Practitioners",39,
,,,,"FTE Total",42.2,
,,,"Specialist-in-training","Number of Practitioners",33,
,,,,"FTE Total",31.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",4.9,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",147,
,,,,"FTE Total",112.1,
,,,"Hospital non-specialist","Number of Practitioners",182,
,,,,"FTE Total",208.9,
,,,"Specialist","Number of Practitioners",572,
,,,,"FTE Total",627.8,
,,,"Specialist-in-training","Number of Practitioners",231,
,,,,"FTE Total",275.5,
,,,"Other clinician","Number of Practitioners",32,
,,,,"FTE Total",26.8,
,,,"Non-clinician","Number of Practitioners",14,
,,,,"FTE Total",10.1,
,,"Perth City","General practitioner (GP)","Number of Practitioners",291,
,,,,"FTE Total",253.6,
,,,"Hospital non-specialist","Number of Practitioners",322,
,,,,"FTE Total",383.1,
,,,"Specialist","Number of Practitioners",1067,
,,,,"FTE Total",1172.0,
,,,"Specialist-in-training","Number of Practitioners",437,
,,,,"FTE Total",515.1,
,,,"Other clinician","Number of Practitioners",69,
,,,,"FTE Total",57.2,
,,,"Non-clinician","Number of Practitioners",48,
,,,,"FTE Total",43.6,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",68,
,,,,"FTE Total",61.6,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",8.2,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.0,
,,,"Other clinician","Number of Practitioners",3,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",28.5,
,,"Swan","General practitioner (GP)","Number of Practitioners",123,
,,,,"FTE Total",118.3,
,,,"Hospital non-specialist","Number of Practitioners",32,
,,,,"FTE Total",35.4,
,,,"Specialist","Number of Practitioners",69,
,,,,"FTE Total",69.1,
,,,"Specialist-in-training","Number of Practitioners",44,
,,,,"FTE Total",44.6,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",217,
,,,,"FTE Total",192.2,
,,,"Hospital non-specialist","Number of Practitioners",93,
,,,,"FTE Total",110.4,
,,,"Specialist","Number of Practitioners",172,
,,,,"FTE Total",187.2,
,,,"Specialist-in-training","Number of Practitioners",122,
,,,,"FTE Total",131.2,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",15.5,
,,,"Non-clinician","Number of Practitioners",3,
,,"Stirling","General practitioner (GP)","Number of Practitioners",165,
,,,,"FTE Total",144.6,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",24.0,
,,,"Specialist","Number of Practitioners",103,
,,,,"FTE Total",87.0,
,,,"Specialist-in-training","Number of Practitioners",21,
,,,,"FTE Total",22.6,
,,,"Other clinician","Number of Practitioners",12,
,,,,"FTE Total",10.8,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",148,
,,,,"FTE Total",136.8,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,,"Specialist","Number of Practitioners",16,
,,,,"FTE Total",13.4,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.0,
,,,"Other clinician","FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",73,
,,,,"FTE Total",74.2,
,,,"Hospital non-specialist","Number of Practitioners",53,
,,,,"FTE Total",64.2,
,,,"Specialist","Number of Practitioners",63,
,,,,"FTE Total",64.5,
,,,"Specialist-in-training","Number of Practitioners",25,
,,,,"FTE Total",24.5,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",8.6,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",57,
,,,,"FTE Total",51.3,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",15.9,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",9.0,
,,"Canning","General practitioner (GP)","Number of Practitioners",142,
,,,,"FTE Total",128.4,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",16.8,
,,,"Specialist","Number of Practitioners",25,
,,,,"FTE Total",25.8,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",15.6,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.4,
,,,"Non-clinician","Number of Practitioners",3,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",86,
,,,,"FTE Total",86.4,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.4,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",10.7,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",51,
,,,,"FTE Total",50.7,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",3.2,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",5.2,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",14,
,,,,"FTE Total",14.3,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"South Perth","General practitioner (GP)","Number of Practitioners",30,
,,,,"FTE Total",27.3,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",27,
,,,,"FTE Total",28.3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",90,
,,,,"FTE Total",85.1,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",12.2,
,,,"Specialist-in-training","Number of Practitioners",21,
,,,,"FTE Total",20.5,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.2,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",90,
,,,,"FTE Total",75.5,
,,,"Hospital non-specialist","Number of Practitioners",33,
,,,,"FTE Total",36.8,
,,,"Specialist","Number of Practitioners",84,
,,,,"FTE Total",85.4,
,,,"Specialist-in-training","Number of Practitioners",47,
,,,,"FTE Total",50.6,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",10,
,,,,"FTE Total",8.3,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",26,
,,,,"FTE Total",25.7,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",6.7,
,,"Melville","General practitioner (GP)","Number of Practitioners",154,
,,,,"FTE Total",130.4,
,,,"Hospital non-specialist","Number of Practitioners",195,
,,,,"FTE Total",218.1,
,,,"Specialist","Number of Practitioners",490,
,,,,"FTE Total",553.4,
,,,"Specialist-in-training","Number of Practitioners",211,
,,,,"FTE Total",249.1,
,,,"Other clinician","Number of Practitioners",31,
,,,,"FTE Total",29.5,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",102,
,,,,"FTE Total",104.4,
,,,"Hospital non-specialist","Number of Practitioners",39,
,,,,"FTE Total",41.1,
,,,"Specialist","Number of Practitioners",79,
,,,,"FTE Total",85.0,
,,,"Specialist-in-training","Number of Practitioners",37,
,,,,"FTE Total",41.3,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",9.8,
,,,"Non-clinician","FTE Total",3.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",81,
,,,,"FTE Total",81.0,
,,,"Hospital non-specialist","Number of Practitioners",16,
,,,,"FTE Total",19.9,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",33.9,
,,,"Specialist-in-training","Number of Practitioners",21,
,,,,"FTE Total",22.1,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",48,
,,,,"FTE Total",46.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.6,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",9.9,
,,,"Other clinician","FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",26.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.6,
,,,"Specialist","FTE Total",3.0,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",82,
,,,,"FTE Total",87.0,
,,,"Hospital non-specialist","Number of Practitioners",27,
,,,,"FTE Total",29.4,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",23.3,
,,,"Specialist-in-training","Number of Practitioners",38,
,,,,"FTE Total",39.3,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.4,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.4,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",28,
,,,,"FTE Total",30.8,
,,,"Hospital non-specialist","Number of Practitioners",7,
,,,,"FTE Total",8.0,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",14.0,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.3,
,,,"Other clinician","FTE Total",3.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",33,
,,,,"FTE Total",39.1,
,,,"Hospital non-specialist","Number of Practitioners",9,
,,,,"FTE Total",12.7,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.8,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",6.6,
,,"Esperance","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",25.3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",23.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",46,
,,,,"FTE Total",52.6,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",19.6,
,,,"Specialist","Number of Practitioners",21,
,,,,"FTE Total",25.4,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",15.2,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",74,
,,,,"FTE Total",91.0,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",28.7,
,,,"Specialist","Number of Practitioners",26,
,,,,"FTE Total",33.0,
,,,"Specialist-in-training","Number of Practitioners",17,
,,,,"FTE Total",17.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.1,
,,,"Non-clinician","Number of Practitioners",3,
,"2016","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",79,
,,,,"FTE Total",72.2,
,,,"Hospital non-specialist","Number of Practitioners",12,
,,,,"FTE Total",13.3,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",8.8,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",9.4,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.5,
,,,"Non-clinician","FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",118,
,,,,"FTE Total",124.2,
,,,"Hospital non-specialist","Number of Practitioners",50,
,,,,"FTE Total",54.0,
,,,"Specialist","Number of Practitioners",101,
,,,,"FTE Total",116.2,
,,,"Specialist-in-training","Number of Practitioners",49,
,,,,"FTE Total",55.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.1,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",20,
,,,,"FTE Total",23.0,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",119,
,,,,"FTE Total",121.3,
,,,"Hospital non-specialist","Number of Practitioners",28,
,,,,"FTE Total",29.5,
,,,"Specialist","Number of Practitioners",45,
,,,,"FTE Total",47.1,
,,,"Specialist-in-training","Number of Practitioners",36,
,,,,"FTE Total",34.3,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",4.9,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",154,
,,,,"FTE Total",127.6,
,,,"Hospital non-specialist","Number of Practitioners",161,
,,,,"FTE Total",190.7,
,,,"Specialist","Number of Practitioners",604,
,,,,"FTE Total",668.1,
,,,"Specialist-in-training","Number of Practitioners",247,
,,,,"FTE Total",300.3,
,,,"Other clinician","Number of Practitioners",36,
,,,,"FTE Total",24.4,
,,,"Non-clinician","Number of Practitioners",21,
,,,,"FTE Total",12.2,
,,"Perth City","General practitioner (GP)","Number of Practitioners",305,
,,,,"FTE Total",261.0,
,,,"Hospital non-specialist","Number of Practitioners",273,
,,,,"FTE Total",313.2,
,,,"Specialist","Number of Practitioners",1081,
,,,,"FTE Total",1204.3,
,,,"Specialist-in-training","Number of Practitioners",438,
,,,,"FTE Total",518.5,
,,,"Other clinician","Number of Practitioners",86,
,,,,"FTE Total",74.3,
,,,"Non-clinician","Number of Practitioners",29,
,,,,"FTE Total",27.5,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",71,
,,,,"FTE Total",62.6,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",10.8,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",3.7,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",32,
,,,,"FTE Total",29.0,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Swan","General practitioner (GP)","Number of Practitioners",138,
,,,,"FTE Total",127.6,
,,,"Hospital non-specialist","Number of Practitioners",52,
,,,,"FTE Total",58.6,
,,,"Specialist","Number of Practitioners",112,
,,,,"FTE Total",120.0,
,,,"Specialist-in-training","Number of Practitioners",55,
,,,,"FTE Total",58.9,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",9.2,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",208,
,,,,"FTE Total",185.4,
,,,"Hospital non-specialist","Number of Practitioners",101,
,,,,"FTE Total",112.9,
,,,"Specialist","Number of Practitioners",198,
,,,,"FTE Total",216.1,
,,,"Specialist-in-training","Number of Practitioners",113,
,,,,"FTE Total",123.7,
,,,"Other clinician","Number of Practitioners",15,
,,,,"FTE Total",16.1,
,,"Stirling","General practitioner (GP)","Number of Practitioners",173,
,,,,"FTE Total",150.6,
,,,"Hospital non-specialist","Number of Practitioners",16,
,,,,"FTE Total",17.9,
,,,"Specialist","Number of Practitioners",92,
,,,,"FTE Total",79.7,
,,,"Specialist-in-training","Number of Practitioners",22,
,,,,"FTE Total",23.3,
,,,"Other clinician","Number of Practitioners",12,
,,,,"FTE Total",9.7,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",164,
,,,,"FTE Total",154.7,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",10.8,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",5.9,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",14.5,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Armadale","General practitioner (GP)","Number of Practitioners",75,
,,,,"FTE Total",76.9,
,,,"Hospital non-specialist","Number of Practitioners",49,
,,,,"FTE Total",54.1,
,,,"Specialist","Number of Practitioners",67,
,,,,"FTE Total",70.9,
,,,"Specialist-in-training","Number of Practitioners",33,
,,,,"FTE Total",33.8,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.5,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",58,
,,,,"FTE Total",50.9,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",14.0,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",7.5,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.7,
,,"Canning","General practitioner (GP)","Number of Practitioners",136,
,,,,"FTE Total",126.7,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",20.1,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",34.3,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",18.8,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.2,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",94,
,,,,"FTE Total",91.2,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.1,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",52,
,,,,"FTE Total",48.3,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",4.2,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",12,
,,,,"FTE Total",12.0,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist-in-training","FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,"South Perth","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",29.0,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",31.8,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.6,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",98,
,,,,"FTE Total",94.7,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",7.7,
,,,"Specialist","Number of Practitioners",23,
,,,,"FTE Total",22.6,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",11.3,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",5.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",72.0,
,,,"Hospital non-specialist","Number of Practitioners",42,
,,,,"FTE Total",48.1,
,,,"Specialist","Number of Practitioners",91,
,,,,"FTE Total",90.5,
,,,"Specialist-in-training","Number of Practitioners",43,
,,,,"FTE Total",42.6,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",5.0,
,,,"Non-clinician","Number of Practitioners",8,
,,,,"FTE Total",6.3,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",29,
,,,,"FTE Total",27.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",8.5,
,,"Melville","General practitioner (GP)","Number of Practitioners",176,
,,,,"FTE Total",147.8,
,,,"Hospital non-specialist","Number of Practitioners",189,
,,,,"FTE Total",211.0,
,,,"Specialist","Number of Practitioners",494,
,,,,"FTE Total",560.7,
,,,"Specialist-in-training","Number of Practitioners",236,
,,,,"FTE Total",270.0,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",9.5,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",115,
,,,,"FTE Total",117.8,
,,,"Hospital non-specialist","Number of Practitioners",48,
,,,,"FTE Total",50.6,
,,,"Specialist","Number of Practitioners",79,
,,,,"FTE Total",82.2,
,,,"Specialist-in-training","Number of Practitioners",43,
,,,,"FTE Total",48.6,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",83.5,
,,,"Hospital non-specialist","Number of Practitioners",17,
,,,,"FTE Total",19.3,
,,,"Specialist","Number of Practitioners",26,
,,,,"FTE Total",30.0,
,,,"Specialist-in-training","Number of Practitioners",26,
,,,,"FTE Total",27.8,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",59,
,,,,"FTE Total",59.4,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",7.7,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",7.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",16,
,,,,"FTE Total",21.8,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",79,
,,,,"FTE Total",85.4,
,,,"Hospital non-specialist","Number of Practitioners",27,
,,,,"FTE Total",27.9,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",32.3,
,,,"Specialist-in-training","Number of Practitioners",35,
,,,,"FTE Total",38.4,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",11.3,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",36.0,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",5.3,
,,,"Specialist","Number of Practitioners",15,
,,,,"FTE Total",18.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",7.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",37,
,,,,"FTE Total",44.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",3.7,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",6.0,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.2,
,,"Esperance","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",23.3,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",19,
,,,,"FTE Total",21.8,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.8,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",42,
,,,,"FTE Total",46.6,
,,,"Hospital non-specialist","Number of Practitioners",22,
,,,,"FTE Total",25.6,
,,,"Specialist","Number of Practitioners",19,
,,,,"FTE Total",23.4,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",7.1,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",9.1,
,,"Mid West","General practitioner (GP)","Number of Practitioners",66,
,,,,"FTE Total",75.6,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",26.0,
,,,"Specialist","Number of Practitioners",26,
,,,,"FTE Total",29.9,
,,,"Specialist-in-training","Number of Practitioners",19,
,,,,"FTE Total",18.8,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",8.8,
,"2017","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",73.8,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",14.8,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",12.8,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",11.1,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",116,
,,,,"FTE Total",124.3,
,,,"Hospital non-specialist","Number of Practitioners",52,
,,,,"FTE Total",61.5,
,,,"Specialist","Number of Practitioners",109,
,,,,"FTE Total",124.9,
,,,"Specialist-in-training","Number of Practitioners",49,
,,,,"FTE Total",56.8,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",20,
,,,,"FTE Total",22.8,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.9,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",128,
,,,,"FTE Total",125.9,
,,,"Hospital non-specialist","Number of Practitioners",32,
,,,,"FTE Total",36.2,
,,,"Specialist","Number of Practitioners",51,
,,,,"FTE Total",55.5,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",27.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",169,
,,,,"FTE Total",144.1,
,,,"Hospital non-specialist","Number of Practitioners",179,
,,,,"FTE Total",207.7,
,,,"Specialist","Number of Practitioners",638,
,,,,"FTE Total",702.8,
,,,"Specialist-in-training","Number of Practitioners",222,
,,,,"FTE Total",260.8,
,,,"Other clinician","Number of Practitioners",45,
,,,,"FTE Total",44.4,
,,,"Non-clinician","Number of Practitioners",18,
,,,,"FTE Total",12.5,
,,"Perth City","General practitioner (GP)","Number of Practitioners",307,
,,,,"FTE Total",273.3,
,,,"Hospital non-specialist","Number of Practitioners",277,
,,,,"FTE Total",320.6,
,,,"Specialist","Number of Practitioners",1122,
,,,,"FTE Total",1209.1,
,,,"Specialist-in-training","Number of Practitioners",411,
,,,,"FTE Total",476.2,
,,,"Other clinician","Number of Practitioners",68,
,,,,"FTE Total",58.4,
,,,"Non-clinician","Number of Practitioners",24,
,,,,"FTE Total",17.2,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",78,
,,,,"FTE Total",68.5,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",7.2,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",5.5,
,,,"Other clinician","Number of Practitioners",3,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",32,
,,,,"FTE Total",33.2,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,"Swan","General practitioner (GP)","Number of Practitioners",138,
,,,,"FTE Total",127.5,
,,,"Hospital non-specialist","Number of Practitioners",75,
,,,,"FTE Total",82.3,
,,,"Specialist","Number of Practitioners",118,
,,,,"FTE Total",123.2,
,,,"Specialist-in-training","Number of Practitioners",55,
,,,,"FTE Total",57.3,
,,,"Other clinician","Number of Practitioners",10,
